87 44 20 36 54 86
0|c|1
1|r|2
2|e|3
3|a|4
4|t|5
5|e|6
6| |7
7|t|8
8|a|9
9|b|10
10|l|11
11|e|12
12| |13
13|all|14
13|(|-1
13|)|-1
13|,|-1
13|;|-1
13|=|-1
13|*|-1
13| |-1
14|all|14
14|(|-1
14|)|-1
14|,|-1
14|;|-1
14|=|-1
14|*|-1
14| |15
15|(|16
15|a|21
16|all|17
16|(|-1
16|)|-1
16|,|-1
16|;|-1
16|=|-1
16|*|-1
16| |-1
17|all|17
17|(|-1
17|)|19
17|,|18
17|;|-1
17|=|-1
17|*|-1
17| |-1
18|all|17
18|(|-1
18|)|-1
18|,|-1
18|;|-1
18|=|-1
18|*|-1
18| |16
19|;|20
21|s|22
22| |23
23|s|37
0|d|24
24|r|25
25|o|26
26|p|27
27| |28
28|t|29
29|a|30
30|b|31
31|l|32
32|e|33
33| |34
34|all|35
34|;|-1
34|(|-1
34|)|-1
34|,|-1
34|=|-1
34| |-1
34|*|-1
35|all|35
35|;|36
35|(|-1
35|)|-1
35|,|-1
35|=|-1
35| |-1
35|*|-1
0|s|37
37|e|38
38|l|39
39|e|40
40|c|41
41|t|42
42| |43
43|all|44
43|(|-1
43|)|-1
43|,|-1
43| |-1
43|=|-1
43|*|47
43|;|-1
44|all|44
44|(|-1
44|)|-1
44| |46
44|,|45
44|=|-1
44|*|47
44|;|-1
45|all|44
45|(|-1
45|)|-1
45| |43
45|,|-1
45|=|-1
45|*|47
45|;|-1
46|f|48
47| |46
48|r|49
49|o|50
50|m|51
51| |52
52|all|53
52|(|-1
52|)|-1
52|,|-1
52|=|-1
52| |-1
52|*|-1
52|;|-1
53|all|53
53|(|-1
53|)|-1
53|,|-1
53|=|-1
53| |55
53|*|-1
53|;|54
0|i|56
56|n|57
57|s|58
58|e|59
59|r|60
60|t|61
61| |62
62|i|63
63|n|64
64|t|65
65|o|66
66| |67
67|all|68
67|(|-1
67|)|-1
67|,|-1
67|=|-1
67|*|-1
67| |-1
67|;|-1
68|all|68
68|(|-1
68|)|-1
68|,|-1
68|=|-1
68|*|-1
68| |69
68|;|-1
69|(|70
69|v|75
70|all|71
70|(|-1
70|)|-1
70|,|-1
70|=|-1
70|*|-1
70| |-1
70|;|-1
71|all|71
71|(|-1
71|)|73
71|,|72
71|=|-1
71|*|-1
71| |-1
71|;|-1
72|all|71
72|(|-1
72|)|-1
72|,|-1
72|=|-1
72|*|-1
72| |70
72|;|-1
73| |74
74|v|75
75|a|76
76|l|77
77|u|78
78|e|79
79|s|80
80| |81
81|(|82
82|all|83
82|(|-1
82|)|-1
82|,|-1
82|=|-1
82|*|-1
82| |-1
82|;|-1
83|all|83
83|(|-1
83|)|85
83|,|84
83|=|-1
83|*|-1
83| |-1
83|;|-1
84|all|83
84|(|-1
84|)|-1
84|,|-1
84|=|-1
84|*|-1
84| |82
84|;|-1
85|;|86
